이름,가격 요약(자동),가슴,구매가,구매일,높이,다리길이,둘레길이,렌즈길이,밑단,밑위,보유,브랜드,브릿지길이,사이즈 요약,상위 카테고리,색상,소매,신발 사이즈,어깨,옵션,정가,제품 요약(자동),챙길이,총장,최종 편집 일시,카테고리,폭,허리,허벅지
"브러시드 저지 모크넥T WINE ","39,900원  (39,900원)",55.5,"39,900",2023년 10월 19일,,,,,,,Yes,유니클로,,총장 69 / 어깨 50.5 / 가슴 55.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),브라운,,,50.5,M,"39,900",유니클로 / M,,69,2025년 1월 2일 오후 1:55,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
"STRIPE CREW PANEL LONG SLEEVES ","68,000원  (68,000원)",57,"68,000",2023년 10월 11일,,,,,,,Yes,인더로우,,총장 70 / 어깨 55 / 가슴 57 / 소매 59,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,59,,55,2,"68,000",인더로우 / 2,,70,2025년 1월 2일 오전 11:04,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
"웜 모크넥 티셔츠 베이지 MWTS7122 ","14,300원  (39,900원)",59,"14,300",2023년 10월 16일,,,,,,,Yes,마인드브릿지,,총장 69 / 어깨 47 / 가슴 59 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,60,,47,100,"39,900",마인드브릿지 / 100,,69,2025년 1월 2일 오전 11:38,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
"BASIC STRIPE L/S T-SHIRT (OFF WHITE) ","45,000원  (58,000원)",57,"45,000",2023년 5월 9일,,,,,,,Yes,네이더스,,총장 68 / 어깨 48 / 가슴 57 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,60,,48,3,"58,000",네이더스 / 3,,68,2025년 1월 2일 오전 11:08,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
폰테 모크 넥 긴팔 티셔츠 블랙,"10,800원  (26,900원)",57.5,"10,800",2023년 10월 28일,,,,,,,Yes,무신사스탠다드,,총장 73.5 / 어깨 50 / 가슴 57.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,60,,50,L,"26,900",무신사스탠다드 / L,,73.5,2024년 12월 11일 오전 10:10,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
브러시드 저지 모크넥T NATURAL,"39,900원  (39,900원)",55.5,"39,900",2023년 10월 19일,,,,,,,Yes,유니클로,,총장 69 / 어깨 50.5 / 가슴 55.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,,,50.5,M,"39,900",유니클로 / M,,69,2025년 1월 2일 오후 1:55,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
폰테 크루 넥 긴팔 티셔츠 [블랙],"18,100원  (24,900원)",56.5,"18,100",2023년 3월 29일,,,,,,,Yes,무신사스탠다드,,총장 72.5 / 어깨 50 / 가슴 56.5 / 소매 59.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,59.5,,50,L,"24,900",무신사스탠다드 / L,,72.5,2025년 1월 2일 오전 11:18,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
프리미엄 CP20 오버핏 긴팔티 (블랙),"19,700원  (41,500원)",62,"19,700",2024년 9월 12일,,,,,,,Yes,리우아,,총장 70.5 / 어깨 56 / 가슴 62 / 소매 57,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,57,,56,M,"41,500",리우아 / M,,70.5,2024년 12월 11일 오전 11:27,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
레이어드 크루 넥 긴팔 티셔츠 [화이트],"16,383원  (19,900원)",56.5,"16,383",2023년 10월 28일,,,,,,,Yes,무신사스탠다드,,총장 76.3 / 어깨 50 / 가슴 56.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,60,,50,L,"19,900",무신사스탠다드 / L,,76.3,2024년 12월 11일 오전 10:31,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
베네피셜 하이코튼 세미오버핏 긴팔티,"34,500원  (50,900원)",56.5,"34,500",2023년 9월 12일,,,,,,,Yes,리우아,,총장 69.5 / 어깨 50 / 가슴 56.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,60,,50,M,"50,900",리우아 / M,,69.5,2025년 1월 2일 오전 11:35,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
베네피셜 하이코튼 세미오버핏 긴팔티,"34,500원  (50,900원)",58,"34,500",2024년 2월 12일,,,,,,,Yes,리우아,,총장 69.5 / 어깨 54 / 가슴 58 / 소매 58,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,58,,54,M,"50,900",리우아 / M,,69.5,2025년 1월 2일 오전 11:35,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
Pin Stripe Long Sleeve Camel,"75,000원  (75,000원)",61,"75,000",2024년 8월 14일,,,,,,,Yes,러프사이드,,총장 69 / 어깨 56.5 / 가슴 61 / 소매 58,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),브라운,58,,56.5,2,"75,000",러프사이드 / 2,,69,2025년 12월 27일 오후 1:33,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
BDU Jacket Black Denim,"258,000원  (268,000원)",62,"258,000",2024년 8월 14일,,,,,,,Yes,러프사이드,,총장 76 / 어깨 56.5 / 가슴 62 / 소매 61.5,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),블랙,61.5,,56.5,2,"268,000",러프사이드 / 2,,76,2025년 12월 27일 오후 1:31,재킷 (https://www.notion.so/158abb41507c8025ab86effb5db61d11?pvs=21),,,
폰테 크루 넥 긴팔 티셔츠 [오프 화이트],"17,900원  (24,900원)",56.5,"17,900",2023년 3월 29일,,,,,,,Yes,무신사스탠다드,,총장 72.5 / 어깨 50 / 가슴 56.5 / 소매 59.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,59.5,,50,L,"24,900",무신사스탠다드 / L,,72.5,2025년 1월 2일 오전 11:17,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
STRIPE CREW PANEL T SHIRT - WHITE,"54,000원  (54,000원)",57,"54,000",2023년 5월 9일,,,,,,,Yes,인더로우,,총장 70 / 어깨 55 / 가슴 57 / 소매 25,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,25,,55,2,"54,000",인더로우 / 2,,70,2025년 1월 2일 오전 11:08,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
"07 TIPPED POLO SHIRT (ivory) ","75,000원  (95,000원)",58,"75,000",2023년 6월 5일,,,,,,,Yes,부기홀리데이,,총장 67.5 / 어깨 47 / 가슴 58 / 소매 24,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,24,,47,L,"95,000",부기홀리데이 / L,,67.5,2025년 1월 2일 오전 11:08,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
23SS 수피마 쿨맥스 스탠다드핏 티셔츠,"40,300원  (49,800원)",57,"40,300",2023년 6월 27일,,,,,,,Yes,더니트컴퍼니,,총장 73 / 어깨 53 / 가슴 57 / 소매 24,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),"블랙, 화이트",24,,53,L,"49,800",더니트컴퍼니 / L,,73,2025년 1월 2일 오전 11:16,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
"에센셜 쿨 코튼 2PACK 티셔츠 블랙, 화이트","37,900원  (49,000원)",57,"37,900",2021년 5월 14일,,,,,,,Yes,커버낫,,총장 71 / 어깨 52.5 / 가슴 57 / 소매 22.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),"블랙, 화이트",22.5,,52.5,L,"49,000",커버낫 / L,,71,2025년 1월 2일 오전 11:31,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
[프리미엄 CP30] 세미오버핏 반팔티 (화이트),"13,100원  (34,500원)",57.5,"13,100",2024년 5월 12일,,,,,,,Yes,리우아,,총장 70.5 / 어깨 50.5 / 가슴 57.5 / 소매 25,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,25,,50.5,M,"34,500",리우아 / M,,70.5,2024년 12월 11일 오전 11:32,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
"프리미엄 싱글 세미오버 핏 티셔츠 ","15,400원  (36,000원)",57,"15,400",2021년 5월 14일,,,,,,,Yes,이에스엔,,총장 71 / 어깨 52 / 가슴 57 / 소매 22,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,22,,52,L,"36,000",이에스엔 / L,,71,2025년 1월 2일 오전 11:30,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
프리미엄 싱글 세미오버 핏 티셔츠,"15,400원  (36,000원)",57,"15,400",2021년 5월 14일,,,,,,,Yes,이에스엔,,총장 71 / 어깨 52 / 가슴 57 / 소매 22,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,22,,52,L,"36,000",이에스엔 / L,,71,2025년 1월 2일 오전 11:30,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
"(US) K87 포켓 반팔 티셔츠 카본헤더 ","24,300원  (64,000원)",58,"24,300",2023년 11월 22일,,,,,,,Yes,칼하트,,총장 79 / 어깨 53 / 가슴 58 / 소매 26,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,26,,53,M,"64,000",칼하트 / M,,79,2025년 1월 2일 오전 11:36,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
"쿨탠다드 릴렉스 핏 크루 넥 반팔 티셔츠 크림 ","990원  (19,900원)",58,990,2023년 4월 29일,,,,,,,Yes,무신사스탠다드,,총장 71 / 어깨 53 / 가슴 58 / 소매 26,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,26,,53,L,"19,900",무신사스탠다드 / L,,71,2025년 1월 2일 오전 11:17,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
에어리즘 크루넥T(반팔),"12,000원  (14,900원)",48.5,"12,000",2024년 10월 26일,,,,,,,Yes,유니클로,,총장 72 / 어깨 43 / 가슴 48.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),그레이/실버,,,43,L,"14,900",유니클로 / L,,72,2024년 12월 11일 오후 8:10,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
TD5-SH06 옥스포드 버튼다운 셔츠-화이트,"54,100원  (63,700원)",64.5,"54,100",2023년 9월 2일,,,,,,,Yes,토마스모어,,총장 78 / 어깨 53 / 가슴 64.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,60,,53,S,"63,700",토마스모어 / S,,78,2025년 1월 2일 오전 11:06,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
The Classic white shirt S40 / L,"42,000원  (68,000원)",61,"42,000",2020년 10월 8일,,,,,,,Yes,다이아몬드레이라,,총장 77.5 / 어깨 57.5 / 가슴 61 / 소매 58,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,58,,57.5,L,"68,000",다이아몬드레이라 / L,,77.5,2025년 1월 2일 오전 11:32,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
"케이블 니트 코튼 스웨터 베스트 ","219,000원  (219,000원)",50.5,"219,000",2023년 10월 10일,,,,,,,Yes,폴로랄프로렌,,총장 62 / 가슴 50.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),그레이/실버,,,,M,"219,000",폴로랄프로렌 / M,,62,2024년 12월 11일 오후 8:10,니트베스트 (https://www.notion.so/158abb41507c80d6a699c35efacc7578?pvs=21),,,
10 FAIR ISLE VEST CREAM,"108,800원  (128,000원)",56,"108,800",2023년 8월 30일,,,,,,,Yes,부기홀리데이,,총장 65 / 어깨 40 / 가슴 56,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,,,40,L,"128,000",부기홀리데이 / L,,65,2025년 1월 2일 오후 1:05,니트베스트 (https://www.notion.so/158abb41507c80d6a699c35efacc7578?pvs=21),,,
Harley CREWNECK SWEATER - ugie pearl,"185,300원  (218,000원)",,"185,300",2023년 10월 18일,,,,,,,Yes,홈그라운서플라이,,총장 66 / 어깨 57 / 소매 84,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),그레이/실버,84,,57,S,"218,000",홈그라운서플라이 / S,,66,2025년 1월 2일 오전 11:03,니트 (https://www.notion.so/158abb41507c80809756e5d92c3e0fb8?pvs=21),,,
Harley SHAGGY DOG CREWKNEC - MUSHROOM,"215,000원  (215,000원)",,"215,000",2023년 10월 16일,,,,,,,Yes,블랭크룸,,총장 65 / 어깨 57 / 소매 85,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),브라운,85,,57,M,"215,000",블랭크룸 / M,,65,2025년 1월 2일 오전 11:08,니트 (https://www.notion.so/158abb41507c80809756e5d92c3e0fb8?pvs=21),,,
SKIPPER JACKET ORANGE,"320,000원  (599,000원)",56,"320,000",2023년 9월 26일,,,,,,,Yes,안데르센안데르센,,총장 63 / 어깨 46 / 가슴 56 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),오렌지,60,,46,L,"599,000",안데르센안데르센 / L,,63,2025년 1월 2일 오후 1:28,가디건 (https://www.notion.so/158abb41507c80a6960bf97b41bac13f?pvs=21),,,
Wool Cashmere Shawl Cardigan,"0원  (560,000원)",56,0,2014년 1월 1일,,,,,,,Yes,폴로랄프로렌,,총장 63 / 어깨 46 / 가슴 56 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,60,,46,M,"560,000",폴로랄프로렌 / M,,63,2024년 12월 11일 오후 7:43,가디건 (https://www.notion.so/158abb41507c80a6960bf97b41bac13f?pvs=21),,,
모헤어 레트로 노르딕 가디건,"179,000원  (187,000원)",,"179,000",2024년 11월 17일,,,,,,,Yes,저널스탠다드,,총장 67 / 어깨 58.5 / 소매 81.8,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),"브라운, 오렌지",81.8,,58.5,M,"187,000",저널스탠다드 / M,,67,2024년 12월 11일 오전 10:29,가디건 (https://www.notion.so/158abb41507c80a6960bf97b41bac13f?pvs=21),,,
SKIPPER JACKET BLACK,"297,700원  (599,000원)",58,"297,700",2024년 11월 6일,,,,,,,Yes,안데르센안데르센,,총장 63 / 어깨 46 / 가슴 58 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,60,,46,L,"599,000",안데르센안데르센 / L,,63,2024년 12월 11일 오전 10:28,가디건 (https://www.notion.so/158abb41507c80a6960bf97b41bac13f?pvs=21),,,
ESTATE RIB QUATER ZIP FULLOVER,"0원  (260,000원)",,0,2023년 4월 7일,,,,,,,Yes,폴로랄프로렌,,,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,,,,M,"260,000",폴로랄프로렌 / M,,,2025년 1월 2일 오후 1:59,집업 (https://www.notion.so/158abb41507c80d4bd06f12a7999f4ad?pvs=21),,,
ROY FULL ZIP KNIT PARKA 2 (KHAKI MELANGE),"179,000원  (210,000원)",58,"179,000",2023년 12월 4일,,,,,,,Yes,인더로우,,총장 68 / 어깨 50 / 가슴 58 / 소매 63,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),올리브/그린,63,,50,3,"210,000",인더로우 / 3,,68,2025년 1월 2일 오전 11:47,집업 (https://www.notion.so/158abb41507c80d4bd06f12a7999f4ad?pvs=21),,,
Fine Cotton cover zip Knit 블랙,"61,000원  (109,000원)",58,"61,000",2023년 11월 21일,,,,,,,Yes,소신,,총장 68 / 가슴 58,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,,,,M,"109,000",소신 / M,,68,2025년 1월 2일 오전 11:36,집업 (https://www.notion.so/158abb41507c80d4bd06f12a7999f4ad?pvs=21),,,
"Collared Half Zip Sweatshirts (Oatmeal) ","42,400원  (53,000원)",60,"42,400",2023년 11월 21일,,,,,,,Yes,소신,,총장 69 / 어깨 60 / 가슴 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,,,60,M,"53,000",소신 / M,,69,2025년 1월 2일 오전 11:36,스웨트셔츠 (https://www.notion.so/158abb41507c80ea8083cf96ea01df13?pvs=21),,,
프리미엄 솔리드 후드집업투웨이 오버핏 (멜란지그레이),"53,800원  (56,000원)",65,"53,800",2023년 9월 10일,,,,,,,Yes,퍼스널팩,,총장 69.5 / 어깨 56 / 가슴 65 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),그레이/실버,60,,56,M,"56,000",퍼스널팩 / M,,69.5,2025년 1월 2일 오후 2:05,후디 (https://www.notion.so/158abb41507c803594f5d502d927351c?pvs=21),,,
"동행 SWEAT SHIRT BLUEBERRY ","78,000원  (78,000원)",61,"78,000",2023년 9월 24일,,,,,,,Yes,블랭크룸,,총장 69.5 / 가슴 61 / 소매 87.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,87.5,,,1,"78,000",블랭크룸 / 1,,69.5,2025년 1월 2일 오전 11:04,스웨트셔츠 (https://www.notion.so/158abb41507c80ea8083cf96ea01df13?pvs=21),,,
"UNI NB X Ofr.paris 시그니처 후드 ","89,900원  (89,900원)",,"89,900",2022년 3월 22일,,,,,,,Yes,뉴발란스,,총장 64.5 / 어깨 48 / 소매 57.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,57.5,,48,100,"89,900",뉴발란스 / 100,,64.5,2025년 1월 2일 오후 1:37,후디 (https://www.notion.so/158abb41507c803594f5d502d927351c?pvs=21),,,
08 VILLAGE VANGUARD HALF ZIP SWEATSHIRT (navy),"148,000원  (148,000원)",60,"148,000",2023년 8월 15일,,,,,,,Yes,부기홀리데이,,총장 67.5 / 어깨 51 / 가슴 60 / 소매 63,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,63,,51,L,"148,000",부기홀리데이 / L,,67.5,2025년 1월 2일 오전 11:06,스웨트셔츠 (https://www.notion.so/158abb41507c80ea8083cf96ea01df13?pvs=21),,,
UNI 바시티 하프 집업,"94,000원  (99,000원)",,"94,000",2022년 12월 8일,,,,,,,Yes,뉴발란스,,,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),올리브/그린,,,,M,"99,000",뉴발란스 / M,,,2025년 1월 2일 오후 1:08,스웨트셔츠 (https://www.notion.so/158abb41507c80ea8083cf96ea01df13?pvs=21),,,
스웨트터틀넥셔츠 PURPLE,"49,900원  (49,900원)",57,"49,900",2023년 10월 19일,,,,,,,Yes,유니클로,,총장 66.5 / 가슴 57 / 소매 84,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),와인/퍼플,84,,,M,"49,900",유니클로 / M,,66.5,2025년 1월 2일 오후 1:55,스웨트셔츠 (https://www.notion.so/158abb41507c80ea8083cf96ea01df13?pvs=21),,,
