이름,가격 요약(자동),가슴,구매가,구매일,높이,다리길이,둘레길이,렌즈길이,밑단,밑위,보유,브랜드,브릿지길이,사이즈 요약,상위 카테고리,색상,소매,신발 사이즈,어깨,옵션,정가,제품 요약(자동),챙길이,총장,최종 편집 일시,카테고리,폭,허리,허벅지
23AW Santiago Slacks (Heather Gray),"132,600원  (156,000원)",,"132,600",2023년 9월 8일,,,,,25,33.5,Yes,어나더오피스,,총장 106.5 / 허리 42.5 / 허벅지 34.5 / 밑위 33.5 / 밑단 25,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),그레이/실버,,,,2,"156,000",어나더오피스 / 2,,106.5,2025년 1월 2일 오전 11:05,슬랙스 (https://www.notion.so/158abb41507c807e9fb1cdf0f9938f8d?pvs=21),,42.5,34.5
23AW Santiago Slacks (Mink),"132,600원  (156,000원)",,"132,600",2023년 12월 8일,,,,,25,33.5,Yes,어나더오피스,,총장 106.5 / 허리 42.5 / 허벅지 34.5 / 밑위 33.5 / 밑단 25,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),브라운,,,,2,"156,000",어나더오피스 / 2,,106.5,2025년 1월 2일 오전 11:03,슬랙스 (https://www.notion.so/158abb41507c807e9fb1cdf0f9938f8d?pvs=21),,42.5,34.5
리버스 원턱 와이드 히든 밴딩 슬랙스 브라운,"30,200원  (43,900원)",,"30,200",2023년 11월 24일,,,,,23.5,29,Yes,무신사스탠다드,,총장 105 / 허리 40 / 허벅지 35 / 밑위 29 / 밑단 23.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),브라운,,,,30,"43,900",무신사스탠다드 / 30,,105,2025년 1월 2일 오전 11:13,슬랙스 (https://www.notion.so/158abb41507c807e9fb1cdf0f9938f8d?pvs=21),,40,35
스테이02 벨티드 팬츠 루즈핏 오트밀,"60,000원  (88,000원)",,"60,000",2021년 5월 14일,,,,,22,39,Yes,이드,,총장 107 / 허리 40 / 허벅지 36.5 / 밑위 39 / 밑단 22,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,M,"88,000",이드 / M,,107,2025년 1월 2일 오전 11:31,슬랙스 (https://www.notion.so/158abb41507c807e9fb1cdf0f9938f8d?pvs=21),,40,36.5
US ARMY FATIGUE 오리지널 레귤러핏,"185,900원  (427,200원)",,"185,900",2024년 10월 22일,,,,,21.5,29.5,Yes,오어슬로우,,총장 106.5 / 허리 40.5 / 허벅지 32.5 / 밑위 29.5 / 밑단 21.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),올리브/그린,,,,2,"427,200",오어슬로우 / 2,,106.5,2024년 12월 11일 오후 6:50,치노/퍼티그 (https://www.notion.so/158abb41507c80998e00cf4325258b4f?pvs=21),,40.5,32.5
코튼 대디 팬츠 베이지,"70,500원  (98,000원)",,"70,500",2023년 9월 24일,,,,,22.5,30,Yes,비얼디드키드,,총장 107 / 허리 41 / 허벅지 34 / 밑위 30 / 밑단 22.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,S,"98,000",비얼디드키드 / S,,107,2025년 1월 2일 오전 11:15,치노/퍼티그 (https://www.notion.so/158abb41507c80998e00cf4325258b4f?pvs=21),,41,34
LOT.32 치노 트라우저 카키 / 32,"136,500원  (169,000원)",,"136,500",2023년 10월 1일,,,,,19,29.5,Yes,데밀,,총장 105 / 허리 41.5 / 허벅지 33.5 / 밑위 29.5 / 밑단 19,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,32,"169,000",데밀 / 32,,105,2025년 1월 2일 오후 2:11,치노/퍼티그 (https://www.notion.so/158abb41507c80998e00cf4325258b4f?pvs=21),,41.5,33.5
레플리카 퍼티그 팬츠,"40,000원  (43,900원)",,"40,000",2023년 10월 12일,,,,,22.5,32.5,Yes,무신사스탠다드,,총장 107 / 허리 40 / 허벅지 32.3 / 밑위 32.5 / 밑단 22.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),올리브/그린,,,,30,"43,900",무신사스탠다드 / 30,,107,2025년 1월 2일 오전 11:15,치노/퍼티그 (https://www.notion.so/158abb41507c80998e00cf4325258b4f?pvs=21),,40,32.3
24SS Santiago Slacks (Black),"131,600원  (158,000원)",,"131,600",2024년 2월 24일,,,,,25,33.5,Yes,어나더오피스,,총장 107 / 허리 42.5 / 허벅지 34.5 / 밑위 33.5 / 밑단 25,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,2,"158,000",어나더오피스 / 2,,107,2024년 12월 11일 오후 6:53,슬랙스 (https://www.notion.so/158abb41507c807e9fb1cdf0f9938f8d?pvs=21),,42.5,34.5
"#0214 Moderation indigo straight fit ","47,500원  (83,000원)",,"47,500",2021년 11월 26일,,,,,21.3,28,Yes,페이탈리즘,,총장 103 / 허리 40 / 허벅지 29.8 / 밑위 28 / 밑단 21.3,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,46,"83,000",페이탈리즘 / 46,,103,2025년 1월 2일 오전 11:22,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40,29.8
1898 BLANK JEANS [WIDE STRAIGHT],"45,400원  (78,000원)",,"45,400",2023년 6월 26일,,,,,22.5,29.5,Yes,브랜디드,,총장 107 / 허리 40 / 허벅지 32 / 밑위 29.5 / 밑단 22.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,30,"78,000",브랜디드 / 30,,107,2025년 1월 2일 오전 11:16,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40,32
51041 CANDIANI LIGHTNING OCEAN JEANS EXTRA WIDE STRAIGHT,"39,900원  (103,000원)",,"39,900",2023년 6월 25일,,,,,25,34.5,Yes,브랜디드,,총장 108 / 허리 40 / 허벅지 34 / 밑위 34.5 / 밑단 25,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,30,"103,000",브랜디드 / 30,,108,2025년 1월 2일 오전 11:17,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40,34
#0199 Sensitive -B standard fit,"55,000원  (89,000원)",,"55,000",2021년 11월 22일,,,,,21,27,Yes,페이탈리즘,,총장 103 / 허리 40.5 / 허벅지 30 / 밑위 27 / 밑단 21,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,46,"89,000",페이탈리즘 / 46,,103,2025년 1월 2일 오전 11:23,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40.5,30
23SS Santiago Denim Pants (Mid Blue),"140,000원  (164,000원)",,"140,000",2023년 6월 15일,,,,,24,33,Yes,어나더오피스,,총장 106 / 허리 42 / 허벅지 34 / 밑위 33 / 밑단 24,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,2,"164,000",어나더오피스 / 2,,106,2025년 1월 2일 오전 11:07,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,42,34
"Clean Deep One Tuck Denim Pants [Brown] ","38,200원  (45,000원)",,"38,200",2023년 10월 11일,,,,,24,35,Yes,제로,,총장 105 / 허리 40.5 / 허벅지 33 / 밑위 35 / 밑단 24,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),브라운,,,,L,"45,000",제로 / L,,105,2025년 1월 2일 오전 11:14,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40.5,33
LOT.026 헐리우드 슬림 데님 오프 화이트,"81,700원  (119,000원)",,"81,700",2023년 10월 1일,,,,,24,35,Yes,데밀,,총장 105.5 / 허리 40.5 / 허벅지 33 / 밑위 35 / 밑단 24,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),화이트,,,,30,"119,000",데밀 / 30,,105.5,2025년 1월 2일 오전 11:15,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40.5,33
One Tuck Curve Denim Pants_ Washed Blue,"137,700원  (153,000원)",,"137,700",2024년 5월 1일,,,,,22,35.5,Yes,아트이프액츠,,총장 105 / 허리 40 / 밑위 35.5 / 밑단 22,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,M,"153,000",아트이프액츠 / M,,105,2025년 1월 2일 오후 2:13,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40,0
One Tuck Curve Denim Pants_ Washed Black,"137,700원  (153,000원)",,"137,700",2024년 5월 1일,,,,,22,35.5,Yes,아트이프액츠,,총장 105 / 허리 40 / 밑위 35.5 / 밑단 22,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,M,"153,000",아트이프액츠 / M,,105,2025년 1월 2일 오후 2:13,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40,0
트루 와이드 데님 팬츠 - 빈티지 카키,"148,200원  (156,000원)",,"148,200",2024년 8월 6일,,,,,28,33.5,Yes,벨리에,,총장 110 / 허리 40 / 허벅지 35 / 밑위 33.5 / 밑단 28,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),그레이/실버,,,,30,"156,000",벨리에 / 30,,110,2024년 12월 11일 오후 8:10,데님 (https://www.notion.so/158abb41507c803090beeaa9ec90e11d?pvs=21),,40,35
Down Sandal - PERMANENT (Mountain Khaki),"37,700원  (59,000원)",,"37,700",2024년 11월 13일,,,,,,,Yes,수부,,,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),올리브/그린,,0,,2,"59,000",수부 / 2,,,2024년 12월 11일 오후 7:15,샌들 (https://www.notion.so/159abb41507c8045b725f18452725873?pvs=21),,,
미드나잇 글림 브레이슬릿,"69,500원  (69,500원)",,"69,500",2024년 9월 21일,,,,,,,Yes,벨리에,,총장 23.3,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),그레이/실버,,,,F,"69,500",벨리에 / F,,23.3,2024년 12월 11일 오후 8:10,시계/팔찌/반지 (https://www.notion.so/158abb41507c80478077e48e38c3d014?pvs=21),,,
Cove Typewriter Resort Loose Pants Charcoal,"129,000원  (129,000원)",,"129,000",2024년 4월 29일,,,,,23.5,33,Yes,홀리선,,총장 106 / 허리 41 / 허벅지 36 / 밑위 33 / 밑단 23.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),그레이/실버,,,,M,"129,000",홀리선 / M,,106,2025년 1월 2일 오전 11:13,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,41,36
Peninsula Elastic Braided Leather Belt Olive,"0원  (125,000원)",,0,2024년 4월 29일,,,,,,,Yes,홀리선,,폭 3 / 총장 110,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),올리브/그린,,,,M,"125,000",홀리선 / M,,110,2025년 1월 2일 오전 11:13,벨트 (https://www.notion.so/158abb41507c8018b904f3d585897a1d?pvs=21),3,,
라인 D 비즈니스 남성 벨트 CJ6640120,"0원  (450,000원)",,0,2016년 1월 1일,,,,,,,Yes,듀퐁,,폭 3 / 총장 110,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블랙,,,,F,"450,000",듀퐁 / F,,110,2025년 1월 2일 오전 11:43,벨트 (https://www.notion.so/158abb41507c8018b904f3d585897a1d?pvs=21),3,,
나일론 원턱 팬츠 청록,"43,400원  (62,000원)",,"43,400",2023년 3월 29일,,,,,24,30,Yes,슬로우레코드하우스,,총장 102 / 허리 31.5 / 허벅지 31.5 / 밑위 30 / 밑단 24,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,M,"62,000",슬로우레코드하우스 / M,,102,2025년 1월 2일 오전 11:08,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,31.5,31.5
TD5-PT02 원턱 스트링 팬츠 - 브라운,"53,500원  (73,500원)",,"53,500",2023년 3월 29일,,,,,28,36,Yes,토마스모어,,총장 103 / 허리 38 / 허벅지 36.5 / 밑위 36 / 밑단 28,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),브라운,,,,M,"73,500",토마스모어 / M,,103,2025년 1월 2일 오전 11:09,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,38,36.5
코튼 린넨 투 턱 와이드 팬츠 라이트 베이지,"34,600원  (46,900원)",,"34,600",2023년 4월 29일,,,,,24.5,30.5,Yes,무신사스탠다드,,총장 105 / 허리 40 / 허벅지 36.25 / 밑위 30.5 / 밑단 24.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,30,"46,900",무신사스탠다드 / 30,,105,2025년 1월 2일 오전 11:17,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,40,36.25
Traditional One Tuck Linen Denim _ natural,"59,000원  (59,000원)",,"59,000",2023년 7월 20일,,,,,25,31.5,Yes,레스겟모어,,총장 104.5 / 허리 39 / 허벅지 31.5 / 밑위 31.5 / 밑단 25,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,30,"59,000",레스겟모어 / 30,,104.5,2025년 1월 2일 오후 1:21,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,39,31.5
"루즈핏 트레이닝 스웨트 팬츠 멜란지 그레이(기모) ","20,100원  (29,800원)",,"20,100",2023년 2월 1일,,,,,21,31.5,Yes,브렌슨,,총장 103 / 허리 36 / 허벅지 32.5 / 밑위 31.5 / 밑단 21,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),그레이/실버,,,,L,"29,800",브렌슨 / L,,103,2025년 1월 2일 오전 11:19,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,36,32.5
루즈핏 트레이닝 스웨트 팬츠 오트밀,"19,200원  (29,800원)",,"19,200",2023년 2월 1일,,,,,21,31.5,Yes,브렌슨,,총장 103 / 허리 36 / 허벅지 32.5 / 밑위 31.5 / 밑단 21,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,L,"29,800",브렌슨 / L,,103,2025년 1월 2일 오전 11:19,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,36,32.5
"UNI 바시티 와이드 조거팬츠 ","84,900원  (89,900원)",,"84,900",2022년 12월 8일,,,,,0,0,Yes,뉴발란스,,,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),올리브/그린,,,,S,"89,900",뉴발란스 / S,,0,2025년 1월 2일 오후 1:08,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,0,0
버뮤다원턱 하프팬츠 BLACK,"27,900원  (45,000원)",,"27,900",2023년 6월 30일,,,,,35,37,Yes,라퍼지스토어,,총장 56 / 허리 31 / 허벅지 37 / 밑위 37 / 밑단 35,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,M,"45,000",라퍼지스토어 / M,,56,2025년 1월 2일 오전 11:16,반바지 (https://www.notion.so/158abb41507c803c8695ca4f41ed8c47?pvs=21),,31,37
BERMUDA PANTS 708 CHARCOAL,"13,000원  (65,000원)",,"13,000",2023년 11월 11일,,,,,32,38.4,Yes,노티카,,총장 60 / 허리 35.5 / 허벅지 42.2 / 밑위 38.4 / 밑단 32,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,M,"65,000",노티카 / M,,60,2025년 1월 2일 오전 11:06,반바지 (https://www.notion.so/158abb41507c803c8695ca4f41ed8c47?pvs=21),,35.5,42.2
BERMUDA PANTS 708 BEIGE,"13,000원  (65,000원)",,"13,000",2023년 11월 11일,,,,,32,38.4,Yes,노티카,,총장 60 / 허리 35.5 / 허벅지 42.2 / 밑위 38.4 / 밑단 32,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,M,"65,000",노티카 / M,,60,2025년 1월 2일 오전 11:06,반바지 (https://www.notion.so/158abb41507c803c8695ca4f41ed8c47?pvs=21),,35.5,42.2
M1906RP Gray,"161,000원  (169,000원)",,"161,000",2023년 7월 21일,,,,,,,Yes,뉴발란스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),화이트,,260,,260,"169,000",뉴발란스 / 260,,,2025년 1월 2일 오후 1:37,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
MT580AC2 Khaki,"138,000원  (149,000원)",,"138,000",2023년 1월 30일,,,,,,,Yes,뉴발란스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),올리브/그린,,260,,260,"149,000",뉴발란스 / 260,,,2025년 1월 2일 오전 11:46,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
CM996BG,"125,100원  (139,000원)",,"125,100",2023년 11월 14일,,,,,,,Yes,뉴발란스,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),그레이/실버,,265,,265,"139,000",뉴발란스 / 265,,,2025년 1월 2일 오후 1:37,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
BLUCHER 12 Leather Red,"275,500원  (290,000원)",,"275,500",2023년 10월 1일,,,,,,,Yes,그라더스,,신발 사이즈 255,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),레드,,255,,255,"290,000",그라더스 / 255,,,2025년 1월 2일 오후 2:02,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
척테일러 1970S 로우 화이트,"0원  (85,000원)",,0,2023년 4월 7일,,,,,,,Yes,컨버스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),화이트,,260,,260,"85,000",컨버스 / 260,,,2025년 1월 2일 오후 1:59,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
BW 독일군 스니커즈,"129,000원  (139,000원)",,"129,000",2019년 1월 1일,,,,,,,Yes,아디다스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),화이트,,260,,260,"139,000",아디다스 / 260,,,2025년 1월 2일 오전 11:42,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
BLUCHER 09 leather gum white,"174,000원  (290,000원)",,"174,000",2023년 12월 5일,,,,,,,Yes,그라더스,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),베이지,,265,,265,"290,000",그라더스 / 265,,,2024년 12월 11일 오후 7:51,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
993 Made in USA Gray,"278,000원  (270,000원)",,"278,000",2024년 10월 27일,,,,,,,Yes,뉴발란스,,신발 사이즈 270,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),그레이/실버,,270,,270,"270,000",뉴발란스 / 270,,,2024년 12월 11일 오후 8:10,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
530 DARK MUSHROOM,"149,000원  (149,000원)",,"149,000",2024년 11월 13일,,,,,,,Yes,뉴발란스,,신발 사이즈 270,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),브라운,,270,,270,"149,000",뉴발란스 / 270,,,2024년 12월 11일 오후 7:54,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
미카엘 블랙,"280,000원  (699,000원)",,"280,000",2023년 9월 1일,,,,,,,Yes,파라부트,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,260,,41,"699,000",파라부트 / 41,,,2025년 1월 2일 오후 1:31,구두 (https://www.notion.so/158abb41507c80eaaa1dc74501ded78b?pvs=21),,,
BRONSON Slip-On,0원  (0원),,0,2014년 1월 1일,,,,,,,Yes,락포트,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,265,,265,0,락포트 / 265,,,2025년 1월 2일 오후 1:20,구두 (https://www.notion.so/158abb41507c80eaaa1dc74501ded78b?pvs=21),,,
